,author,title,year,Categories Y-Yes; N-No; TBC-to be confirmed with full-text reading,Reason,Data encoding status,Note,
75,"Angell, CS and Oudin, MJ and Rode, NO and Mautz, BS and Bonduriansky, R and Rundle, HD",Development time mediates the effect of larval diet on ageing and mating success of male antler flies in the wild,2020,N,Not bird,,,
76,"Aykanat, T and Ozerov, M and Vaha, JP and Orell, P and Niemela, E and Erkinaro, J and Primmer, CR",Co-inheritance of sea age at maturity and iteroparity in the Atlantic salmon vgll3 genomic region,2019,N,Not bird,,,
77,"Pigeon, G and Landes, J and Festa-Bianchet, M and Pelletier, F",Do Early-Life Conditions Drive Variation in Senescence of Female Bighorn Sheep?,2021,N,Not bird & trans-generational,,,
78,"KIRKWOOD, TBL and ROSE, MR",EVOLUTION OF SENESCENCE - LATE SURVIVAL SACRIFICED FOR REPRODUCTION,1991,N,Not trans-generational,,,
79,"Balbontin, J and Moller, AP",Environmental conditions during early life accelerate the rate of senescence in a short-lived passerine bird,2015,N,Not trans-generational,,,
80,"Kaplan, HS and Robson, AJ",We age because we grow,2009,N,Not trans-generational,,,
81,"Nietmann, L and Ha, RR",Variation in age-dependent nest predation between island and continental Rufous Fantail (Rhipidura rufifrons) subspecies,2018,N,Not trans-generational,,,
82,"Rutz, C and Whittingham, MJ and Newton, I",Age-dependent diet choice in an avian top predator,2006,N,Not ageing,,,
83,"Ericsson, G and Wallin, K and Ball, JP and Broberg, M","Age-related reproductive effort and senescence in free-ranging moose, Alces alces",2001,N,Not bird,,,
84,"Carlsson, H and Ivimey-Cook, E and Duxbury, EML and Edden, N and Sales, K and Maklakov, AA","Ageing as ""early-life inertia"": Disentangling life-history trade-offs along a lifetime of an individual",2021,N,Not bird & trans-generational,,,
85,"Bertschy, KA and Fox, MG",The influence of age-specific survivorship on pumpkinseed sunfish life histories,1999,N,Not bird,,,
86,"Bowers, EK and Forsman, AM and Masters, BS and Johnson, BGP and Johnson, LS and Sakaluk, SK and Thompson, CF",Increased extra-pair paternity in broods of aging males and enhanced recruitment of extra-pair young in a migratory bird,2015,N,Not trans-generational,,,
87,"Hayward, AD and Mar, KU and Lahdenpera, M and Lummaa, V","Early reproductive investment, senescence and lifetime reproductive success in female Asian elephants",2014,N,Not bird,,,
88,"Rollings, N and Uhrig, EJ and Krohmer, RW and Waye, HL and Mason, RT and Olsson, M and Whittington, CM and Friesen, CR",Age-related sex differences in body condition and telomere dynamics of red-sided garter snakes,2017,N,Not bird,,,
89,"Laaksonen, T and Hakkarainen, H and Korpimaki, E",Lifetime reproduction of a forest-dwelling owl increases with age and area of forests,2004,N,Not trans-generational,,,
90,"Ricklefs, RE",Embryo development and ageing in birds and mammals,2006,N,Not trans-generational,,,
91,"Roach, DA and Smith, EF",Life-history trade-offs and senescence in plants,2020,N,Not bird,,,
92,"Berglund, AMM and Rainio, MJ and Kanerva, M and Nikinmaa, M and Eeva, T","Antioxidant status in relation to age, condition, reproductive performance and pollution in three passerine species",2014,N,Not trans-generational,,,
93,"Naguib, M and Gil, D",Transgenerational effects on body size caused by early developmental stress in zebra finches,2005,N,Not bird,,,
94,"Brown, TJ and Hammers, M and Taylor, M and Dugdale, HL and Komdeur, J and Richardson, DS","Hematocrit, age, and survival in a wild vertebrate population",2021,N,Not ageing,,,
95,"Liu, JH and Rotkirch, A and Lummaa, V",Maternal Risk of Breeding Failure Remained Low throughout the Demographic Transitions in Fertility and Age at First Reproduction in Finland,2012,N,Not trans-generational,,,
96,"Omholt, SW and Kirkwood, TBL",Aging as a consequence of selection to reduce the environmental risk of dying,2021,N,Not trans-generational,,,
97,"Api, M and Notarstefano, V and Olivotto, I and Cellerino, A and Carnevali, O",Breeders Age Affects Reproductive Success in Nothobranchius furzeri,2018,N,Not bird,,,
98,"Sanchez-Montes, G and Martinez-Solano, I and Diaz-Paniagua, C and Vilches, A and Arino, AH and Gomez-Mestre, I",Telomere attrition with age in a wild amphibian population,2020,N,Not bird,,,
99,"Imlay, TL and Steiner, JC and Bird, DM",Age and experience affect the reproductive success of captive Loggerhead Shrike (Lanius ludovicianus) subspecies,2017,N,Not wild & trans-generational,,,
100,"Kim, SY and Drummond, H and Torres, R and Velando, A",Evolvability of an avian life history trait declines with father's age,2011,Y,,Y,,
101,"Eckardt, W and Fawcett, K and Fletcher, AW",Weaned age variation in the Virunga mountain gorillas (Gorilla beringei beringei): influential factors,2016,N,Not bird,,,
102,"Segura, A and Rodriguez-Caro, RC and Gracia, E and Acevedo, P",Differences in Reproductive Success in Young and Old Females of a Long-Lived Species,2021,N,Not bird,,,
103,"Fay, R and Barbraud, C and Delord, K and Weimerskirch, H",Variation in the age of first reproduction: different strategies or individual quality?,2016,N,Not trans-generational,,,
104,"Wiebe, KL and Martin, K",Age-specific patterns of reproduction in white-tailed and willow ptarmigan Lagopus leucurus and L-lagopus,1998,N,Not trans-generational,,,
105,"Mills, MD and Belk, MC and Rader, RB and Brown, JE","Age and growth of least chub, Iotichthys phlegethontis, in wild populations",2004,N,Not bird,,,
